"","state_name","state_postal","KWH","DOLLAREL","HDD65","CDD65","UATYP10","TYPEHUQ","MONEYPY","ENERGYASST20","BA_climate","DIVISION","YEARMADERANGE","KOWNRENT","COOLCNTL","HEATCNTL","LGTINLED","SMARTMETER","TYPETHERM","ATHOME"
"80","Texas","TX",3575.66,476.18,2039,3251,"U",2,15,-2,"Hot-Dry","West South Central",4,1,1,1,4,-4,1,3
"81","North Dakota","ND",6160.09,523.91,8680,660,"U",5,4,1,"Very-Cold","West North Central",4,2,4,4,0,0,1,5
"82","Maine","ME",4773.89,815.15,7353,447,"U",1,3,1,"Cold","New England",4,1,4,4,0,0,0,5
"83","Tennessee","TN",13624.39,1189.87,3803,1197,"U",2,11,-2,"Mixed-Humid","East South Central",2,1,2,2,4,-4,1,5
"84","Wisconsin","WI",12056.92,1640.07,7565,308,"U",2,13,-2,"Cold","East North Central",2,2,2,1,3,-4,2,5
"85","Ohio","OH",6398.78,762.16,5893,620,"U",2,14,-2,"Cold","East North Central",6,1,3,3,0,0,2,0
"86","California","CA",15883.07,4224.74,2367,1894,"C",2,15,-2,"Hot-Dry","Pacific",6,1,1,1,3,1,1,5
"87","Tennessee","TN",17645.39,1737.58,3704,1462,"R",1,3,-2,"Mixed-Humid","East South Central",6,1,1,1,3,-4,2,5
"88","Illinois","IL",6204.94,901.36,6779,657,"R",2,6,-2,"Cold","East North Central",2,1,4,1,0,0,2,5
"89","Massachusetts","MA",6267.44,1038.22,6445,569,"R",2,9,-2,"Cold","New England",1,2,4,2,2,-4,2,5
"90","Tennessee","TN",12590.62,1105.83,3731,1240,"U",2,11,-2,"Mixed-Humid","East South Central",1,1,1,1,3,1,2,5
"91","Ohio","OH",10916.67,1152.5,4850,1137,"U",5,13,-2,"Cold","East North Central",4,2,2,2,4,-4,2,5
"92","Idaho","ID",18927.41,1925.41,5510,749,"R",2,16,-2,"Cold","Mountain North",4,1,2,2,4,-4,1,5
"93","Maine","ME",18049.34,1181.06,7271,468,"U",2,14,-2,"Cold","New England",1,1,-2,1,1,1,0,5
"94","Oklahoma","OK",11974.77,1224.72,3101,2244,"C",2,1,-2,"Mixed-Humid","West South Central",7,2,1,1,0,-4,0,5
"95","North Carolina","NC",13181.71,1541.23,2320,1963,"C",2,7,-2,"Mixed-Humid","South Atlantic",5,1,-2,1,1,-4,1,5
"96","Wisconsin","WI",10895.27,1505.68,7330,620,"R",2,14,-2,"Cold","East North Central",4,1,-2,1,2,0,1,3
"97","Florida","FL",8789.08,874.62,258,4472,"U",2,16,-2,"Hot-Humid","South Atlantic",7,1,1,1,2,0,3,5
"98","Oklahoma","OK",12889.92,1428.49,3247,1877,"U",2,9,-2,"Mixed-Humid","West South Central",1,1,1,1,2,1,1,5
"99","Nevada","NV",16199.78,1953.59,1782,4219,"U",2,7,-2,"Hot-Dry","Mountain South",6,1,2,2,4,0,1,5
"100","Michigan","MI",24238.61,3356.34,6168,749,"C",5,6,-2,"Cold","East North Central",4,2,1,1,4,1,2,5
"101","Washington","WA",12438,1275.79,4292,1240,"U",2,15,-2,"Cold","Pacific",6,1,3,3,2,0,3,5
"102","Tennessee","TN",9022.24,1127.29,3302,1663,"U",2,13,-2,"Mixed-Humid","East South Central",6,1,2,2,4,-4,2,5
"103","New York","NY",5765.34,739.4,7388,555,"R",2,9,1,"Cold","Middle Atlantic",1,1,-2,2,0,-4,1,4
"104","North Carolina","NC",3910.15,526.26,2717,1706,"U",2,13,-2,"Mixed-Humid","South Atlantic",6,1,3,3,2,1,3,0
"105","Ohio","OH",4577.45,545.22,5467,909,"R",2,4,-2,"Cold","East North Central",2,1,2,2,0,-4,1,5
"106","Vermont","VT",4599.93,1048.97,7333,709,"R",2,13,-2,"Cold","New England",6,1,4,2,2,0,1,5
"107","Nebraska","NE",10247.15,969.53,6116,1108,"U",2,16,-2,"Cold","West North Central",8,1,1,1,3,0,2,5
"108","Virginia","VA",29380.28,3451.63,3518,1405,"U",2,15,-2,"Mixed-Humid","South Atlantic",7,1,3,3,2,0,3,5
"109","Georgia","GA",8753.99,1242.51,1785,2300,"U",5,10,-2,"Hot-Humid","South Atlantic",6,2,1,1,2,0,1,5
"110","California","CA",4016.32,1021.3,2022,434,"C",1,12,-2,"Marine","Pacific",4,1,-2,4,0,-4,0,5
